<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.08.07	3370.205	3409.019	3365.192	3400.470	258339	0	160
2025.08.08	3400.432	3404.295	3376.553	3398.564	358129	0	160
2025.08.10	3400.572	3401.819	3390.292	3391.548	14086	0	160
2025.08.11	3391.592	3391.639	3341.273	3349.027	216642	0	160
2025.08.12	3349.010	3359.244	3331.071	3350.570	207136	0	160
2025.08.13	3350.580	3370.735	3342.678	3362.702	143573	0	160
2025.08.14	3362.724	3374.845	3329.838	3335.551	190963	0	160
2025.08.15	3335.580	3348.747	3332.372	3335.213	137735	0	160
2025.08.17	3334.569	3335.381	3323.503	3327.097	10036	0	160
2025.08.18	3327.080	3358.418	3326.727	3330.978	131890	0	160
2025.08.19	3330.990	3345.304	3312.771	3314.231	143378	0	160
2025.08.20	3314.241	3352.092	3311.514	3346.836	133690	0	160
2025.08.21	3346.906	3348.112	3325.126	3338.411	134556	0	160
2025.08.22	3338.367	3378.869	3321.378	3372.299	158433	0	160
2025.08.24	3368.744	3371.039	3365.848	3368.995	7180	0	160
2025.08.25	3369.080	3376.306	3351.710	3354.892	109441	0	160
2025.08.26	3354.827	3393.583	3351.207	3390.862	161609	0	160
2025.08.27	3390.853	3399.502	3373.698	3395.819	132794	0	160
2025.08.28	3395.750	3423.212	3384.637	3414.819	139570	0	160
2025.08.29	3414.850	3453.924	3404.309	3448.035	138334	0	160
2025.08.31	3445.866	3452.606	3442.459	3447.952	9796	0	160
2025.09.01	3447.912	3489.928	3437.028	3479.211	164854	0	160
2025.09.02	3479.183	3540.122	3470.218	3529.984	247589	0	160
2025.09.03	3530.010	3578.427	3526.781	3560.292	236449	0	160
2025.09.04	3560.341	3563.473	3511.211	3552.549	234127	0	160
2025.09.05	3552.532	3600.076	3544.721	3586.597	238148	0	160
2025.09.07	3591.856	3596.716	3587.112	3591.178	23713	0	160
2025.09.08	3591.110	3646.316	3579.620	3634.992	216273	0	160
2025.09.09	3635.023	3674.541	3623.120	3633.568	271356	0	160
2025.09.10	3633.543	3657.577	3620.180	3644.915	193824	0	160
2025.09.11	3644.851	3649.150	3613.082	3631.842	209045	0	160
2025.09.12	3631.810	3656.620	3630.497	3643.484	160812	0	160
2025.09.14	3644.610	3645.996	3636.772	3638.241	7120	0	160
2025.09.15	3638.237	3685.623	3626.541	3676.996	173049	0	160
2025.09.16	3676.886	3703.110	3674.646	3694.245	180591	0	160
2025.09.17	3694.244	3707.455	3646.057	3669.169	284395	0	160
2025.09.18	3669.100	3673.017	3627.744	3640.239	243462	0	160
2025.09.19	3640.242	3685.190	3632.203	3684.861	189948	0	160
2025.09.21	3687.969	3692.329	3683.776	3686.253	12026	0	160
2025.09.22	3686.263	3749.254	3685.466	3747.763	221764	0	160
2025.09.23	3747.797	3791.065	3736.722	3763.842	279160	0	160
2025.09.24	3763.822	3779.229	3717.427	3742.920	232817	0	160
2025.09.25	3743.000	3761.601	3721.945	3744.717	284777	0	160
2025.09.26	3744.676	3783.826	3734.464	3761.041	235442	0	160
2025.09.28	3764.718	3772.502	3763.322	3766.899	12958	0	160
2025.09.29	3766.858	3834.025	3763.910	3832.835	318441	0	160
2025.09.30	3832.890	3871.700	3793.074	3862.927	358279	0	160
2025.10.01	3862.940	3895.376	3853.356	3863.518	322759	0	160
2025.10.02	3863.475	3897.154	3819.320	3862.410	314608	0	160
2025.10.03	3862.365	3891.638	3837.995	3887.045	267080	0	160
2025.10.05	3888.624	3920.986	3884.034	3909.450	35338	0	160
2025.10.06	3909.487	3976.198	3898.931	3969.514	378420	0	160
2025.10.07	3969.556	3995.946	3940.820	3994.411	347923	0	160
2025.10.08	3994.367	4059.321	3984.478	4011.708	368438	0	160
2025.10.09	4011.706	4057.978	3944.600	3989.932	550715	0	160
2025.10.10	3989.927	4022.825	3946.940	4010.399	517724	0	160
2025.10.12	4014.463	4060.193	4008.645	4035.147	49709	0	160
2025.10.13	4035.195	4132.069	4024.338	4128.045	409302	0	160
2025.10.14	4128.091	4179.707	4090.603	4161.613	643731	0	160
2025.10.15	4161.574	4218.221	4153.803	4209.458	458570	0	160
2025.10.16	4209.563	4380.074	4203.546	4365.805	521354	0	160
2025.10.17	4365.763	4378.554	4186.194	4250.936	1000752	0	160
2025.10.19	4264.629	4268.325	4233.246	4237.851	40955	0	160
2025.10.20	4237.822	4381.569	4218.935	4360.492	588360	0	160
2025.10.21	4360.442	4372.296	4080.817	4093.156	905906	0	160
2025.10.22	4093.182	4161.360	4004.185	4087.735	1006150	0	160
2025.10.23	4087.639	4154.684	4065.984	4121.703	534793	0	160
2025.10.24	4121.728	4144.297	4043.978	4113.082	510483	0	160
2025.10.26	4083.572	4109.193	4061.912	4064.458	50184	0	160
2025.10.27	4064.532	4097.781	3971.348	3998.491	569997	0	160
2025.10.28	3998.379	4019.767	3886.540	3964.818	559371	0	160
2025.10.29	3964.847	4030.268	3917.190	3952.836	549313	0	160
2025.10.30	3952.798	4046.422	3915.301	4036.658	539000	0	160
2025.10.31	4036.633	4039.309	3972.406	4001.621	447021	0	160
2025.11.02	3990.719	3998.936	3977.946	3980.468	17526	0	160
2025.11.03	3980.378	4030.646	3962.306	3997.194	412513	0	160
2025.11.04	3997.301	4000.711	3928.810	3934.767	415493	0	160
2025.11.05	3934.793	3990.518	3929.598	3973.671	312515	0	160
2025.11.06	3973.630	4019.609	3964.543	3989.177	302629	0	160
2025.11.07	3989.212	4027.628	3984.058	4001.422	298842	0	160
2025.11.09	4004.876	4012.265	4004.027	4011.860	11896	0	160
2025.11.10	4011.870	4122.665	4011.132	4119.955	320082	0	160
2025.11.11	4119.992	4148.862	4097.107	4142.639	304653	0	160
2025.11.12	4142.641	4211.751	4098.923	4191.097	399827	0	160
2025.11.13	4191.055	4245.332	4145.372	4185.929	502140	0	160
2025.11.14	4185.951	4211.561	4032.197	4084.620	570531	0	160
2025.11.16	4083.755	4106.794	4071.875	4096.461	23002	0	160
2025.11.17	4096.528	4102.076	4006.848	4036.825	496066	0	160
2025.11.18	4036.862	4082.273	3998.052	4076.650	477219	0	160
2025.11.19	4076.692	4132.686	4055.572	4104.662	494859	0	160
2025.11.20	4104.692	4110.327	4038.727	4079.097	602096	0	160
2025.11.21	4079.141	4101.270	4022.258	4066.113	548192	0	160
2025.11.23	4072.469	4077.681	4065.815	4075.117	14659	0	160
2025.11.24	4075.148	4144.411	4039.842	4143.810	376297	0	160
2025.11.25	4143.802	4159.498	4109.156	4133.730	428156	0	160
2025.11.26	4133.808	4173.570	4132.595	4165.012	343459	0	160
2025.11.27	4164.965	4167.313	4142.573	4163.431	207202	0	160
2025.11.28	4163.371	4226.479	4147.529	4219.212	232572	0	160
2025.11.30	4219.954	4225.289	4205.826	4221.933	15731	0	160
2025.12.01	4221.906	4264.527	4215.434	4227.679	428180	0	160
2025.12.02	4227.704	4230.859	4163.545	4212.876	428497	0	160
2025.12.03	4212.913	4241.579	4194.480	4207.165	388249	0	160
2025.12.04	4207.102	4219.460	4174.834	4206.079	353544	0	160
2025.12.05	4206.077	4259.240	4191.863	4198.522	356601	0	160
2025.12.07	4202.426	4208.658	4189.873	4201.389	2186	0	160
2025.12.08	4201.433	4218.963	4176.137	4194.735	267259	0	160
2025.12.09	4194.740	4221.525	4170.097	4210.870	334998	0	160
2025.12.10	4210.804	4238.679	4181.683	4232.470	369266	0	160
2025.12.11	4232.448	4285.946	4204.244	4276.523	581070	0	160
2025.12.12	4276.471	4353.561	4256.958	4300.983	506803	0	160
2025.12.14	4300.525	4308.446	4299.860	4302.391	9969	0	160
2025.12.15	4302.443	4350.280	4285.180	4304.150	360613	0	160
2025.12.16	4304.132	4335.137	4271.617	4307.860	395281	0	160
2025.12.17	4307.905	4349.297	4306.453	4339.201	390602	0	160
2025.12.18	4339.150	4374.641	4308.645	4335.144	416110	0	160
2025.12.19	4335.170	4356.559	4309.271	4339.365	310015	0	160
2025.12.21	4340.939	4356.441	4339.930	4355.369	8029	0	160
2025.12.22	4355.312	4461.751	4355.312	4460.243	302132	0	160
2025.12.23	4460.236	4510.399	4430.554	4503.344	370420	0	160
2025.12.24	4503.359	4525.987	4448.294	4480.715	348459	0	160
